source,paradigm,is_cube,session_id,bodypart,canonical,n_frames,fps,mean_likelihood,interp_rate,mean_velocity_px_s,std_velocity_px_s,cv_velocity,mean_jitter,pos_std_x,pos_std_y,bbox_area
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bcl,,15241,25,0.9953680987097164,0.0038055245718784858,72.48952511503973,211.27252842878025,2.9145249343749198,1.1422372484625416,125.83833292171668,101.11912787936154,315421.3266712486
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bcr,,15241,25,0.9952734837314758,0.004067974542352864,74.49618960970592,183.75249164566222,2.4666025552227917,1.1673877231917655,123.45191104646953,99.97947015317352,260670.856904761
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,hipl,,15241,25,0.9940619494754509,0.004658486975920215,78.64867469989713,260.6328403525303,3.3138872504468435,1.6264489299342457,121.88730690824909,98.50977085187395,413463.69274189236
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,hipr,,15241,25,0.9908267344833868,0.006364411784003674,77.73625394158776,240.3735369570333,3.092167743735809,1.5709518672721408,119.5048934404045,96.69382649100203,284084.74797773355
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tailbase,tail_base,15241,25,0.9936811224669345,0.005380224394724756,85.13286722834593,284.00119180988304,3.335975881654808,1.6587446854092533,117.62845128159235,94.97481661437327,189837.60620898585
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tailcentre,,15241,25,0.9829144998568499,0.014894035824420969,107.50526737557209,275.85898913807284,2.5660044002714137,2.735932198067778,113.2615173042716,90.65320811267715,269097.2515989603
sturman_oft,open_field,False,26_02_A_190507144444DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tailtip,,15241,25,0.966260156186576,0.027294796929335344,173.7101347306017,549.8616832627358,3.165397828488756,5.133904489132026,109.58738925553247,86.35507438932416,408300.9518148734
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tl,,15246,25,0.9478085003025994,0.05024268660632297,11.250189665167781,89.97452073252508,7.99760034367236,0.3352401243005775,5.35081150017858,10.265871935772253,86790.77204150875
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tr,,15246,25,0.9673546626821803,0.031614849796667975,9.190999240538876,8.876866263718425,0.9658216730739243,0.23178186382871072,1.6340912275745056,3.516107754019865,1102.013069502741
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bl,,15246,25,0.9807548796792019,0.015807424898333988,11.829652349639094,13.001638371309125,1.0990718904521135,0.3051106333312548,1.0267450441705055,1.3715074814543273,618.4275383375104
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,br,,15246,25,0.9619717982717501,0.03725567361930998,13.472121340971988,76.13537538374668,5.6513279131624605,0.3517564055066332,9.454431811232288,12.109312524988233,131265.2171299087
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,centre,,15246,25,0.960249503615818,0.03482880755608028,36.94170690959292,105.54622607162051,2.8571020372697657,0.9619283030050577,50.73855199328917,8.939779881118227,254154.93130665095
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,nose,nose,15246,25,0.9280090236971107,0.06178669815033452,92.99136579373122,337.6343127855135,3.6308135696644888,1.7997610530855153,134.6801938470261,111.99443983699624,370011.1589978288
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,headcentre,head,15246,25,0.982257410954275,0.015873015873015872,78.40015006941942,269.66971371377736,3.439658131712736,1.4101949794040225,133.23866442378736,110.4531517292852,372165.05460544844
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,neck,neck,15246,25,0.995044856413243,0.00452577725304998,67.02804748490672,211.8629935381931,3.160811055788252,1.1775208113350368,131.4653389247184,108.40422913191134,300412.16408761113
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,earl,,15246,25,0.9912773877085155,0.007936507936507936,72.33804495269302,204.47813787368338,2.826702574107527,1.265527238118164,133.5900497240652,109.81872635543577,311314.1245799746
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,earr,,15246,25,0.9938814664479708,0.005247277974550702,70.05682578717408,159.48807299871208,2.276552944080304,1.211792349313201,131.1481908081026,108.84253928623424,295491.28696264344
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bodycentre,body_center,15246,25,0.9961257792103249,0.0036730945821854912,66.36382655390044,308.4118227902805,4.647288120732303,1.4842069862631917,129.39166575915687,106.82624418321178,465379.62603555433
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bcl,,15246,25,0.9959945335376299,0.0038042765315492587,65.65425564639962,277.54244017991334,4.227333589382234,1.2588724874091377,131.56753404776217,106.70639243342016,381439.4393229138
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,bcr,,15246,25,0.9955223517852334,0.00400104945559491,65.44027156991483,274.44502582098346,4.193824677634061,1.316134950872289,127.4387859883229,105.4209185941266,463984.9616354139
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,hipl,,15246,25,0.9947465058759678,0.0038698675062311424,70.90193508964383,307.092327759255,4.331226325078255,1.6453421285094334,128.7068827433119,103.59169953502597,303713.784330562
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,hipr,,15246,25,0.9940427828398837,0.0044601862783680965,64.75035674920468,244.2953085654701,3.772879731175701,1.4438521525867967,123.97815005999558,101.66904132573711,182212.56879164823
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tailbase,tail_base,15246,25,0.9938033588028292,0.005706414797323888,68.3852269404373,237.876819340596,3.4784825609745185,1.3748782328233629,123.9410736129104,99.70582995865446,174138.46390314892
sturman_oft,open_field,False,27_02_A_190507150003DeepCut_resnet50_Blockcourse1May9shuffle1_1030000,tailcentre,,15246,25,0.9927189855258577,0.004394595303686213,96.8074424240247,407.91552767059187,4.213679418198941,2.512276199560013,119.22138027241336,95.01489712745311,371562.96429208916
